City_ID,City,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,camana,-16.62,-72.71,63.59,67,100,8.77,PE,1595266859
1,hermanus,-34.42,19.23,57.99,84,0,5.99,ZA,1595266720
2,port alfred,-33.59,26.89,60.13,61,0,4.94,ZA,1595266720
3,rikitea,-23.12,-134.97,67.96,64,83,14.41,PF,1595266475
4,butaritari,3.07,172.79,82.78,67,90,6.58,KI,1595266720
5,georgetown,5.41,100.34,78.8,88,20,2.24,MY,1595266518
6,hilo,19.73,-155.09,75.2,78,90,6.93,US,1595266650
7,jamestown,42.1,-79.24,81.0,57,20,14.99,US,1595266641
8,saskylakh,71.92,114.08,51.4,64,98,4.45,RU,1595266860
9,busselton,-33.65,115.33,48.99,64,100,13.18,AU,1595266721
10,chokurdakh,70.63,147.92,66.16,51,91,9.26,RU,1595266860
11,olinda,-8.01,-34.86,82.4,61,40,18.34,BR,1595266721
12,mataura,-46.19,168.86,39.0,83,100,3.0,NZ,1595266721
13,havre-saint-pierre,50.23,-63.6,73.4,83,90,12.75,CA,1595266861
14,taoudenni,22.68,-3.98,113.32,9,4,7.61,ML,1595266861
15,new norfolk,-42.78,147.06,46.0,91,97,3.0,AU,1595266861
16,bredasdorp,-34.53,20.04,60.8,87,0,4.7,ZA,1595266482
17,avarua,-21.21,-159.78,75.2,78,100,21.92,CK,1595266722
18,sinnamary,5.38,-52.95,82.38,80,58,8.68,GF,1595266722
19,albany,42.6,-73.97,91.0,38,74,1.01,US,1595266486
20,aykhal,66.0,111.5,53.6,93,90,8.95,RU,1595266722
21,qui nhon,13.77,109.23,79.36,85,100,4.0,VN,1595266862
22,richards bay,-28.78,32.04,63.5,79,0,9.57,ZA,1595266862
23,port elizabeth,-33.92,25.57,60.8,100,0,6.93,ZA,1595266862
24,namatanai,-3.67,152.43,79.05,82,39,5.77,PG,1595266723
25,tyup,42.73,78.36,56.53,55,59,0.85,KG,1595266694
